id,height,weight,age,birthday,longitude,latitude,wkt,location,address
30000,176,65,49,1967/05/17,120.971592,24.867063,POINT (120.971592 24.867063),Hsinchu,"Hsinchu, T'ai-wan"
30001,177,63,34,1982/11/16,121.577135,25.036600,POINT (121.577135 25.036600),Taipei,"Taipei, T'ai-wan"
30002,164,86,26,1990/11/11,121.522873,25.091770,POINT (121.522873 25.091770),Taipei,"Taipei, T'ai-wan"
30003,175,87,45,1971/02/03,121.540662,25.001468,POINT (121.540662 25.001468),Taipei,"Taipei, T'ai-wan"
30004,157,80,46,1970/03/21,121.488597,25.088643,POINT (121.488597 25.088643),Banqiao,"Banqiao, T'ai-pei"
30005,159,68,44,1972/08/16,126.993945,37.514854,POINT (126.993945 37.514854),Seoul,"Seoul, Seoul"
30006,184,64,39,1977/09/17,121.566767,25.033854,POINT (121.566767 25.033854),Taipei,"Taipei, T'ai-wan"
30007,162,66,34,1982/04/05,120.705359,24.224524,POINT (120.705359 24.224524),Fengyuan,"Fengyuan, T'ai-wan"
30008,174,50,32,1984/05/21,121.500277,25.079327,POINT (121.500277 25.079327),Taipei,"Taipei, T'ai-wan"
30009,185,62,31,1985/04/24,121.595926,25.066649,POINT (121.595926 25.066649),Taipei,"Taipei, T'ai-wan"
30010,159,56,41,1975/04/18,121.543278,25.020380,POINT (121.543278 25.020380),Taipei,"Taipei, T'ai-wan"
30011,161,83,44,1972/08/02,121.517841,25.059615,POINT (121.517841 25.059615),Taipei,"Taipei, T'ai-wan"
30013,170,67,29,1987/01/02,121.291232,24.960884,POINT (121.291232 24.960884),Taoyuan City,"Taoyuan City, T'ai-wan"
30014,172,80,24,1992/03/10,121.552174,25.032122,POINT (121.552174 25.032122),Taipei,"Taipei, T'ai-wan"
30015,164,73,40,1976/06/11,120.967353,24.820762,POINT (120.967353 24.820762),Hsinchu,"Hsinchu, T'ai-wan"
30017,176,82,24,1992/12/14,121.528593,25.082723,POINT (121.528593 25.082723),Taipei,"Taipei, T'ai-wan"
30018,165,75,39,1977/06/01,120.713320,24.270535,POINT (120.713320 24.270535),Fengyuan,"Fengyuan, T'ai-wan"
30019,178,69,39,1977/08/09,120.500244,24.054003,POINT (120.500244 24.054003),Chang-hua,"Chang-hua, T'ai-wan"
30020,162,78,46,1970/11/18,121.542458,25.088453,POINT (121.542458 25.088453),Taipei,"Taipei, T'ai-wan"
30022,182,57,37,1979/05/20,121.486791,25.021667,POINT (121.486791 25.021667),Banqiao,"Banqiao, T'ai-pei"
30023,156,67,26,1990/01/02,120.699167,24.103182,POINT (120.699167 24.103182),Taichung,"Taichung, T'ai-wan"
30024,171,71,50,1966/01/13,121.507698,25.028897,POINT (121.507698 25.028897),Taipei,"Taipei, T'ai-wan"
30025,177,68,26,1990/11/24,121.500105,25.031912,POINT (121.500105 25.031912),Taipei,"Taipei, T'ai-wan"
30026,151,69,27,1989/02/01,120.697835,24.116439,POINT (120.697835 24.116439),Taichung,"Taichung, T'ai-wan"
30027,176,91,33,1983/01/12,121.701835,25.195798,POINT (121.701835 25.195798),Keelung,"Keelung, T'ai-wan"
30028,182,78,25,1991/02/25,120.301913,23.375081,POINT (120.301913 23.375081),Xinying,"Xinying, T'ai-wan"
30029,183,66,37,1979/11/18,121.553301,25.036752,POINT (121.553301 25.036752),Taipei,"Taipei, T'ai-wan"
30030,170,61,24,1992/01/16,120.564821,24.023346,POINT (120.564821 24.023346),Chang-hua,"Chang-hua, T'ai-wan"
30031,157,77,36,1980/12/04,120.777204,24.222656,POINT (120.777204 24.222656),Fengyuan,"Fengyuan, T'ai-wan"
30032,160,60,41,1975/01/25,121.209192,24.975845,POINT (121.209192 24.975845),Taoyuan City,"Taoyuan City, T'ai-wan"
30033,162,66,36,1980/08/07,120.603823,24.160350,POINT (120.603823 24.160350),Taichung,"Taichung, T'ai-wan"
30034,171,69,24,1992/11/15,121.411166,25.088687,POINT (121.411166 25.088687),Banqiao,"Banqiao, T'ai-pei"
30035,162,78,50,1966/02/10,120.717360,24.295307,POINT (120.717360 24.295307),Fengyuan,"Fengyuan, T'ai-wan"
30036,160,69,23,1993/07/01,120.595534,23.725450,POINT (120.595534 23.725450),Douliu,"Douliu, T'ai-wan"
30037,171,83,28,1988/08/10,121.289949,24.929118,POINT (121.289949 24.929118),Taoyuan City,"Taoyuan City, T'ai-wan"
30038,169,69,37,1979/10/20,121.533365,25.060953,POINT (121.533365 25.060953),Taipei,"Taipei, T'ai-wan"
30039,166,97,41,1975/10/09,121.528979,25.048323,POINT (121.528979 25.048323),Taipei,"Taipei, T'ai-wan"
30041,166,71,35,1981/05/19,120.470077,22.645713,POINT (120.470077 22.645713),Pingtung,"Pingtung, T'ai-wan"
30042,184,64,42,1974/05/24,121.574808,25.057028,POINT (121.574808 25.057028),Taipei,"Taipei, T'ai-wan"
30043,184,77,47,1969/06/25,120.688013,24.169922,POINT (120.688013 24.169922),Taichung,"Taichung, T'ai-wan"
30044,177,54,37,1979/12/27,120.689903,24.126395,POINT (120.689903 24.126395),Taichung,"Taichung, T'ai-wan"
30045,168,78,47,1969/09/06,120.722350,23.784488,POINT (120.722350 23.784488),Lugu,"Lugu, T'ai-wan"
30046,166,66,24,1992/08/16,121.236945,24.942581,POINT (121.236945 24.942581),Taoyuan City,"Taoyuan City, T'ai-wan"
30047,167,96,20,1996/10/18,121.563593,25.037211,POINT (121.563593 25.037211),Taipei,"Taipei, T'ai-wan"
30048,160,79,19,1997/04/24,120.931922,24.880313,POINT (120.931922 24.880313),Hsinchu,"Hsinchu, T'ai-wan"
30049,169,75,21,1995/12/28,121.406373,25.089953,POINT (121.406373 25.089953),Banqiao,"Banqiao, T'ai-pei"
30050,180,84,31,1985/12/10,121.469957,25.078279,POINT (121.469957 25.078279),Banqiao,"Banqiao, T'ai-pei"
30051,179,76,37,1979/04/15,121.464188,25.089921,POINT (121.464188 25.089921),Banqiao,"Banqiao, T'ai-pei"
30052,168,53,25,1991/09/27,120.903645,24.847634,POINT (120.903645 24.847634),Hsinchu,"Hsinchu, T'ai-wan"
30053,160,67,18,1998/04/11,121.584612,25.023725,POINT (121.584612 25.023725),Taipei,"Taipei, T'ai-wan"
30054,162,45,49,1967/07/18,120.352248,22.606955,POINT (120.352248 22.606955),Fengshan,"Fengshan, T'ai-wan"
30055,165,69,29,1987/06/19,120.616614,24.138979,POINT (120.616614 24.138979),Taichung,"Taichung, T'ai-wan"
30056,168,72,49,1967/09/08,120.750451,24.266774,POINT (120.750451 24.266774),Fengyuan,"Fengyuan, T'ai-wan"
30057,177,74,23,1993/06/07,121.545401,25.006119,POINT (121.545401 25.006119),Taipei,"Taipei, T'ai-wan"
30058,156,77,40,1976/02/18,118.373812,24.449721,POINT (118.373812 24.449721),Jincheng,"Jincheng, Fu-chien"
30059,183,76,25,1991/12/18,120.686128,23.920361,POINT (120.686128 23.920361),Nantou,"Nantou, T'ai-wan"
30060,169,90,46,1970/02/06,120.345371,22.600472,POINT (120.345371 22.600472),Kaohsiung,"Kaohsiung, Kao-hsiung"
30061,165,62,36,1980/12/27,120.312169,22.607785,POINT (120.312169 22.607785),Kaohsiung,"Kaohsiung, Kao-hsiung"
30062,165,64,44,1972/05/17,121.591271,25.007026,POINT (121.591271 25.007026),Taipei,"Taipei, T'ai-wan"
30064,153,48,45,1971/12/11,121.215555,24.859965,POINT (121.215555 24.859965),Daxi,"Daxi, T'ai-wan"
30065,158,59,42,1974/12/06,120.560842,24.096243,POINT (120.560842 24.096243),Chang-hua,"Chang-hua, T'ai-wan"
30067,183,47,26,1990/02/12,121.297086,24.969042,POINT (121.297086 24.969042),Taoyuan City,"Taoyuan City, T'ai-wan"
30068,156,50,39,1977/04/09,120.646579,24.113026,POINT (120.646579 24.113026),Taichung,"Taichung, T'ai-wan"
